Timestamp,Interface,Upload Speed (Mbps),Download Speed (Mbps)
2024-07-02 16:33:51,Wi-Fi,0.02,0.18
2024-07-02 16:33:52,Wi-Fi,0.00,0.03
2024-07-02 16:33:53,Wi-Fi,0.04,0.12
2024-07-02 16:33:54,Wi-Fi,0.09,0.32
2024-07-02 16:33:55,Wi-Fi,0.07,1.31
2024-07-02 16:33:56,Wi-Fi,0.01,0.06
2024-07-02 16:33:57,Wi-Fi,0.01,0.04
2024-07-02 16:33:58,Wi-Fi,0.01,0.34
2024-07-02 16:33:59,Wi-Fi,0.01,0.09
2024-07-02 16:34:00,Wi-Fi,0.01,0.21
2024-07-02 16:34:01,Wi-Fi,0.01,0.13
2024-07-02 16:34:54,Wi-Fi,0.01,0.13
2024-07-02 16:34:55,Wi-Fi,0.01,0.14
2024-07-02 16:34:56,Wi-Fi,0.01,0.21
2024-07-02 16:34:57,Wi-Fi,0.01,0.22
2024-07-02 16:34:58,Wi-Fi,0.01,0.20
2024-07-02 16:34:59,Wi-Fi,0.01,0.27
2024-07-02 16:35:00,Wi-Fi,0.03,1.00
2024-07-02 16:35:01,Wi-Fi,0.03,0.08
2024-07-02 16:35:02,Wi-Fi,0.00,0.00
2024-07-02 16:35:03,Wi-Fi,0.00,0.00
2024-07-02 16:35:04,Wi-Fi,0.00,0.00
2024-07-02 16:35:05,Wi-Fi,0.03,0.02
2024-07-02 16:37:32,Wi-Fi,0.00,0.00
2024-07-02 16:37:33,Wi-Fi,0.00,0.00
2024-07-02 16:37:34,Wi-Fi,0.05,1.04
2024-07-02 16:37:35,Wi-Fi,0.04,0.29
2024-07-02 16:37:36,Wi-Fi,0.00,0.00
2024-07-02 16:37:37,Wi-Fi,0.01,0.01
2024-07-02 16:37:38,Wi-Fi,0.01,0.01
2024-07-02 16:39:03,Wi-Fi,0.01,0.00
2024-07-02 16:39:04,Wi-Fi,0.02,0.21
2024-07-02 16:39:05,Wi-Fi,0.03,1.01
2024-07-02 16:39:06,Wi-Fi,0.00,0.00
2024-07-02 16:39:07,Wi-Fi,0.00,0.00
2024-07-02 16:40:08,Wi-Fi,0.00,0.00
2024-07-02 16:40:09,Wi-Fi,0.00,0.01
2024-07-02 16:40:10,Wi-Fi,0.08,1.29
2024-07-02 16:40:11,Wi-Fi,0.01,0.00
2024-07-02 16:40:12,Wi-Fi,0.00,0.00
2024-07-02 16:40:13,Wi-Fi,0.00,0.00
2024-07-02 16:40:14,Wi-Fi,0.01,0.01
2024-07-02 16:42:01,Wi-Fi,0.00,0.00
2024-07-02 16:42:02,Wi-Fi,0.05,0.74
2024-07-02 16:42:03,Wi-Fi,0.02,0.54
2024-07-02 16:42:04,Wi-Fi,0.00,0.00
2024-07-02 16:42:05,Wi-Fi,0.00,0.00
2024-07-02 16:42:06,Wi-Fi,0.00,0.00
2024-07-02 16:43:54,Wi-Fi,0.04,0.03
2024-07-02 16:43:55,Wi-Fi,0.06,1.30
2024-07-02 16:43:56,Wi-Fi,0.01,0.01
2024-07-02 16:43:57,Wi-Fi,0.00,0.01
2024-07-02 16:43:58,Wi-Fi,0.01,0.01
2024-07-02 16:43:59,Wi-Fi,0.00,0.01
2024-07-02 16:44:54,Wi-Fi,0.00,0.00
2024-07-02 16:44:55,Wi-Fi,0.06,0.97
2024-07-02 16:44:56,Wi-Fi,0.09,0.42
2024-07-02 16:44:57,Wi-Fi,0.01,0.02
2024-07-02 16:44:58,Wi-Fi,0.00,0.00
2024-07-02 16:44:59,Wi-Fi,0.02,0.01
2024-07-02 16:45:45,Wi-Fi,0.00,0.00
2024-07-02 16:45:46,Wi-Fi,0.06,1.35
2024-07-02 16:45:47,Wi-Fi,0.00,0.00
2024-07-02 16:45:48,Wi-Fi,0.00,0.00
2024-07-02 16:45:49,Wi-Fi,0.00,0.00
